ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Cygnus bewickii,1037309,exact,Cygnus bewickii,accepted,1037309,Cygnus bewickii,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,,bewickii,,0,,1,1
Cygnus columbianus,159088,exact,Cygnus columbianus,accepted,159088,Cygnus columbianus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,,columbianus,,0,,1,1
Cygnus cygnus,159089,exact,Cygnus cygnus,accepted,159089,Cygnus cygnus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,,cygnus,,0,,1,1
Cygnus olor,159090,exact,Cygnus olor,accepted,159090,Cygnus olor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,,olor,,0,,1,1
Egretta garzetta,159115,exact,Egretta garzetta,accepted,159115,Egretta garzetta,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Egretta,,garzetta,,1,,1,1
Fratercula arctica,137131,exact,Fratercula arctica,accepted,137131,Fratercula arctica,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,,arctica,,1,,,1
Fulica atra,232054,exact,Fulica atra,accepted,232054,Fulica atra,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,,atra,,0,0,1,1
Fulmarus glacialis,137195,exact,Fulmarus glacialis,accepted,137195,Fulmarus glacialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,,glacialis,,1,,,1
Fulmarus glacialis,137195,exact,Fulmarus glacialis,accepted,137195,Fulmarus glacialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,,glacialis,,1,,,1
Gavia arctica,137186,exact,Gavia arctica,accepted,137186,Gavia arctica,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,,arctica,,1,,,1
Gavia sp.,137057,exact,Gavia,accepted,137057,Gavia,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,,,,1,1,1,1
Gavia stellata,137188,exact,Gavia stellata,accepted,137188,Gavia stellata,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,,stellata,,1,,,1
Gelochelidon nilotica,148798,exact,Gelochelidon nilotica,accepted,148798,Gelochelidon nilotica,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,,nilotica,,1,,,1
Haematopus ostralegus,147436,exact,Haematopus ostralegus,accepted,147436,Haematopus ostralegus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Haematopus,,ostralegus,,1,,,1
Haliaeetus albicilla,232053,exact,Haliaeetus albicilla,accepted,232053,Haliaeetus albicilla,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus,,albicilla,,1,1,1,1
Hydrobates castro,,,,,,,,,,,,,,,,,,,
Hydrobates monteiroi,,,,,,,,,,,,,,,,,,,
Hydrobates pelagicus,137189,exact,Hydrobates pelagicus,accepted,137189,Hydrobates pelagicus,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,,pelagicus,,1,,,1
Hydrocoloeus minutus,567449,exact,Hydrocoloeus minutus,accepted,567449,Hydrocoloeus minutus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,,minutus,,1,,,1
Hydroprogne caspia,567825,exact,Hydroprogne caspia,accepted,567825,Hydroprogne caspia,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,,caspia,,1,,,1
Larus argentatus,137138,exact,Larus argentatus,accepted,137138,Larus argentatus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,argentatus,,1,,,1
Larus audouinii,137139,exact,Larus audouinii,accepted,137139,Larus audouinii,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,audouinii,,1,,,1
Larus canus,137141,exact,Larus canus,accepted,137141,Larus canus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,canus,,1,,,1
Larus fuscus,137142,exact,Larus fuscus,accepted,137142,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,fuscus,,1,,,1
Larus fuscus,137142,exact,Larus fuscus,accepted,137142,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,fuscus,,1,,,1
Larus fuscus,137142,exact,Larus fuscus,accepted,137142,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,fuscus,,1,,,1
Larus genei,137143,exact,Larus genei,unaccepted,1488274,Chroicocephalus genei,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,genei,,1,,,1
