ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Arnoglossus imperialis,127124,exact,Arnoglossus imperialis,accepted,127124,Arnoglossus imperialis,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Arnoglossus,,imperialis,,1,0,0,0
Arnoglossus laterna,127126,exact,Arnoglossus laterna,accepted,127126,Arnoglossus laterna,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Arnoglossus,,laterna,,1,0,0,0
Arnoglossus rueppelii,127127,exact,Arnoglossus rueppelii,accepted,127127,Arnoglossus rueppelii,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Arnoglossus,,rueppelii,,1,0,0,0
Arnoglossus thori,127128,exact,Arnoglossus thori,accepted,127128,Arnoglossus thori,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Arnoglossus,,thori,,1,0,0,0
Belone belone,126375,exact,Belone belone,accepted,126375,Belone belone,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Belone,,belone,,1,1,0,0
Beryx spp.,125700,exact,Beryx,accepted,125700,Beryx,Animalia,Chordata,Teleostei,Beryciformes,Berycidae,Beryx,,,,1,0,0,0
Blennius ocellaris,126761,exact,Blennius ocellaris,accepted,126761,Blennius ocellaris,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Blennius,,ocellaris,,1,0,0,0
Boops boops,127047,exact,Boops boops,accepted,127047,Boops boops,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Boops,,boops,,1,0,0,0
Brosme brosme,126447,exact,Brosme brosme,accepted,126447,Brosme brosme,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Brosme,,brosme,,1,0,0,0
Buglossidium luteum,127153,exact,Buglossidium luteum,accepted,127153,Buglossidium luteum,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Buglossidium,,luteum,,1,0,0,0
Callionymus lyra,126792,exact,Callionymus lyra,accepted,126792,Callionymus lyra,Animalia,Chordata,Teleostei,Callionymiformes,Callionymidae,Callionymus,,lyra,,1,0,0,0
Callionymus maculatus,126793,exact,Callionymus maculatus,accepted,126793,Callionymus maculatus,Animalia,Chordata,Teleostei,Callionymiformes,Callionymidae,Callionymus,,maculatus,,1,0,0,0
Capros aper,127419,exact,Capros aper,accepted,127419,Capros aper,Animalia,Chordata,Teleostei,Acanthuriformes,Caproidae,Capros,,aper,,1,0,0,0
Cataetyx laticeps,126657,exact,Cataetyx laticeps,accepted,126657,Cataetyx laticeps,Animalia,Chordata,Teleostei,Ophidiiformes,Bythitidae,Cataetyx,,laticeps,,1,0,0,0
Centrophorus granulosus,105899,exact,Centrophorus granulosus,accepted,105899,Centrophorus granulosus,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Centrophorus,,granulosus,,1,0,0,0
Centrophorus lusitanicus,105900,exact,Centrophorus lusitanicus,accepted,105900,Centrophorus lusitanicus,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Centrophorus,,lusitanicus,,1,0,0,0
Centrophorus squamosus,105901,exact,Centrophorus squamosus,accepted,105901,Centrophorus squamosus,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Centrophorus,,squamosus,,1,0,0,0
Centroscyllium fabricii,105906,exact,Centroscyllium fabricii,accepted,105906,Centroscyllium fabricii,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,,fabricii,,1,0,0,0
Centroscymnus coelolepis,105907,exact,Centroscymnus coelolepis,accepted,105907,Centroscymnus coelolepis,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Centroscymnus,,coelolepis,,1,0,0,0
Centroselachus crepidater,280071,exact,Centroselachus crepidater,accepted,280071,Centroselachus crepidater,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Centroselachus,,crepidater,,1,0,0,0
Cepola macrophthalma,126835,exact,Cepola macrophthalma,accepted,126835,Cepola macrophthalma,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Cepolidae,Cepola,,macrophthalma,,1,0,0,0
Cetorhinus maximus,105837,exact,Cetorhinus maximus,accepted,105837,Cetorhinus maximus,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,,maximus,,1,0,0,0
Chelidonichthys cuculus,127259,exact,Chelidonichthys cuculus,accepted,127259,Chelidonichthys cuculus,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,,cuculus,,1,0,0,0
Chelidonichthys lastoviza,127261,exact,Chelidonichthys lastoviza,accepted,127261,Chelidonichthys lastoviza,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,,lastoviza,,1,0,0,0
Chelidonichthys lucerna,127262,exact,Chelidonichthys lucerna,accepted,127262,Chelidonichthys lucerna,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,,lucerna,,1,0,0,0
Chelidonichthys obscurus,127263,exact,Chelidonichthys obscurus,accepted,127263,Chelidonichthys obscurus,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,,obscurus,,1,0,0,0
Chelon labrosus,126977,exact,Chelon labrosus,accepted,126977,Chelon labrosus,Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Chelon,,labrosus,,1,1,1,0
Chimaera monstrosa,105824,exact,Chimaera monstrosa,accepted,105824,Chimaera monstrosa,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,,monstrosa,,1,0,0,0
Chimaera spp.,105733,exact,Chimaera,accepted,105733,Chimaera,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,,,,1,0,0,0
Citharus linguatula,127130,exact,Citharus linguatula,accepted,127130,Citharus linguatula,Animalia,Chordata,Teleostei,Pleuronectiformes,Citharidae,Citharus,,linguatula,,1,0,0,0
Clupea harengus,126417,exact,Clupea harengus,accepted,126417,Clupea harengus,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,,harengus,,1,1,0,0
Clupea harengus,126417,exact,Clupea harengus,accepted,126417,Clupea harengus,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,,harengus,,1,1,0,0
Coastal fish,,,,,,,,,,,,,,,,,,,
Coelorinchus caelorhincus,398381,exact,Coelorinchus caelorhincus,accepted,398381,Coelorinchus caelorhincus,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus,,caelorhincus,,1,0,0,0
Conger conger,126285,exact,Conger conger,accepted,126285,Conger conger,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Conger,,conger,,1,0,0,0
Coregonus albula,127178,exact,Coregonus albula,accepted,127178,Coregonus albula,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,,albula,,1,1,1,0
Coregonus lavaretus,127180,exact,Coregonus lavaretus,accepted,127180,Coregonus lavaretus,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,,lavaretus,,0,1,1,0
Coregonus maraena,712453,exact,Coregonus maraena,accepted,712453,Coregonus maraena,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,,maraena,,1,1,1,0
Coris julis,126963,exact,Coris julis,accepted,126963,Coris julis,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Coris,,julis,,1,0,0,0
Coryphaenoides rupestris,158960,exact,Coryphaenoides rupestris,accepted,158960,Coryphaenoides rupestris,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,,rupestris,,1,0,0,0
Cyclopterus lumpus,127214,exact,Cyclopterus lumpus,accepted,127214,Cyclopterus lumpus,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus,,lumpus,,1,0,0,0
Dalatias licha,105910,exact,Dalatias licha,accepted,105910,Dalatias licha,Animalia,Chordata,Elasmobranchii,Squaliformes,Dalatiidae,Dalatias,,licha,,1,0,0,0
Dasyatis pastinaca,105851,exact,Dasyatis pastinaca,accepted,105851,Dasyatis pastinaca,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,,pastinaca,,1,1,0,0
Deania calcea,105903,exact,Deania calcea,unaccepted,298167,Deania calceus,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,,calcea,,1,0,0,0
Deania spp.,105771,exact,Deania,accepted,105771,Deania,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,,,,1,0,0,0
Deltentosteus quadrimaculatus,126880,exact,Deltentosteus quadrimaculatus,accepted,126880,Deltentosteus quadrimaculatus,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Deltentosteus,,quadrimaculatus,,1,0,0,0
Demersal fish,,,,,,,,,,,,,,,,,,,
Dentex dentex,273962,exact,Dentex dentex,accepted,273962,Dentex dentex,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Dentex,,dentex,,1,0,0,0
Dicentrarchus labrax,126975,exact,Dicentrarchus labrax,accepted,126975,Dicentrarchus labrax,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,Dicentrarchus,,labrax,,1,1,1,0
Diplodus annularis,127049,exact,Diplodus annularis,accepted,127049,Diplodus annularis,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,,annularis,,1,1,0,0
Diplodus bellottii,127050,exact,Diplodus bellottii,accepted,127050,Diplodus bellottii,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,,bellottii,,1,0,0,0
Diplodus puntazzo,127052,exact,Diplodus puntazzo,accepted,127052,Diplodus puntazzo,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,,puntazzo,,1,1,0,0
Diplodus sargus,127053,exact,Diplodus sargus,accepted,127053,Diplodus sargus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,,sargus,,1,1,0,0
Diplodus vulgaris,127054,exact,Diplodus vulgaris,accepted,127054,Diplodus vulgaris,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,,vulgaris,,1,0,0,0
Dipturus batis,105869,exact,Dipturus batis,accepted,105869,Dipturus batis,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,,batis,,1,0,0,0
Dipturus nidarosiensis,105871,exact,Dipturus nidarosiensis,accepted,105871,Dipturus nidarosiensis,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,,nidarosiensis,,1,0,0,0
Dipturus oxyrinchus,105872,exact,Dipturus oxyrinchus,accepted,105872,Dipturus oxyrinchus,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,,oxyrinchus,,1,0,0,0
Echiichthys vipera,150630,exact,Echiichthys vipera,accepted,150630,Echiichthys vipera,Animalia,Chordata,Teleostei,Perciformes,Trachinidae,Echiichthys,,vipera,,1,0,0,0
Enchelyopus cimbrius,126450,exact,Enchelyopus cimbrius,accepted,126450,Enchelyopus cimbrius,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Enchelyopus,,cimbrius,,1,0,0,0
Engraulis encrasicolus,126426,exact,Engraulis encrasicolus,accepted,126426,Engraulis encrasicolus,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,,encrasicolus,,1,1,0,0
Epigonus telescopus,126858,exact,Epigonus telescopus,accepted,126858,Epigonus telescopus,Animalia,Chordata,Teleostei,Acropomatiformes,Epigonidae,Epigonus,,telescopus,,1,0,0,0
Epinephelus marginatus,127036,exact,Epinephelus marginatus,accepted,127036,Epinephelus marginatus,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,,marginatus,,1,0,0,0
Esox lucius,154210,exact,Esox lucius,accepted,154210,Esox lucius,Animalia,Chordata,Teleostei,Esociformes,Esocidae,Esox,,lucius,,0,1,1,0
Etmopterus princeps,105911,exact,Etmopterus princeps,accepted,105911,Etmopterus princeps,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,,princeps,,1,0,0,0
Etmopterus pusillus,105912,exact,Etmopterus pusillus,accepted,105912,Etmopterus pusillus,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,,pusillus,,1,0,0,0
Etmopterus spinax,105913,exact,Etmopterus spinax,accepted,105913,Etmopterus spinax,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,,spinax,,1,0,0,0
Eutrigla gurnardus,150637,exact,Eutrigla gurnardus,accepted,150637,Eutrigla gurnardus,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Eutrigla,,gurnardus,,1,1,0,0
Gadiculus argenteus,126435,exact,Gadiculus argenteus,accepted,126435,Gadiculus argenteus,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadiculus,,argenteus,,1,0,0,0
Gadus morhua,126436,exact,Gadus morhua,accepted,126436,Gadus morhua,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,1,1,0,0
Gaidropsarus macrophthalmus,126456,exact,Gaidropsarus macrophthalmus,accepted,126456,Gaidropsarus macrophthalmus,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Gaidropsarus,,macrophthalmus,,1,0,0,0
Gaidropsarus vulgaris,126458,exact,Gaidropsarus vulgaris,accepted,126458,Gaidropsarus vulgaris,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Gaidropsarus,,vulgaris,,1,0,0,0
Galeorhinus galeus,105820,exact,Galeorhinus galeus,accepted,105820,Galeorhinus galeus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,,galeus,,1,0,0,0
Galeus melastomus,105812,exact,Galeus melastomus,accepted,105812,Galeus melastomus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,,melastomus,,1,0,0,0
Galeus murinus,105813,exact,Galeus murinus,accepted,105813,Galeus murinus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,,murinus,,1,0,0,0
Glossanodon leioglossus,126717,exact,Glossanodon leioglossus,accepted,126717,Glossanodon leioglossus,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Glossanodon,,leioglossus,,1,0,0,0
Glyptocephalus cynoglossus,127136,exact,Glyptocephalus cynoglossus,accepted,127136,Glyptocephalus cynoglossus,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,,cynoglossus,,1,0,0,0
Gnathophis mystax,126287,exact,Gnathophis mystax,accepted,126287,Gnathophis mystax,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Gnathophis,,mystax,,1,0,0,0
Gobius niger,126892,exact,Gobius niger,accepted,126892,Gobius niger,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Gobius,,niger,,1,1,0,0
Helicolenus dactylopterus,127251,exact,Helicolenus dactylopterus,accepted,127251,Helicolenus dactylopterus,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Helicolenus,,dactylopterus,,1,0,0,0
Heptranchias perlo,105832,exact,Heptranchias perlo,accepted,105832,Heptranchias perlo,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,,perlo,,1,0,0,0
Hexanchus griseus,105833,exact,Hexanchus griseus,accepted,105833,Hexanchus griseus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,,griseus,,1,0,0,0
Hippocampus guttulatus,154776,exact,Hippocampus guttulatus,accepted,154776,Hippocampus guttulatus,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus,,guttulatus,,1,1,0,0
Hippocampus hippocampus,127380,exact,Hippocampus hippocampus,accepted,127380,Hippocampus hippocampus,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus,,hippocampus,,1,0,0,0
Hippoglossus hippoglossus,127138,exact,Hippoglossus hippoglossus,accepted,127138,Hippoglossus hippoglossus,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossus,,hippoglossus,,1,0,0,0
Hoplostethus atlanticus,126402,exact,Hoplostethus atlanticus,accepted,126402,Hoplostethus atlanticus,Animalia,Chordata,Teleostei,Trachichthyiformes,Trachichthyidae,Hoplostethus,,atlanticus,,1,0,0,0
Hydrolagus mirabilis,105826,exact,Hydrolagus mirabilis,accepted,105826,Hydrolagus mirabilis,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,,mirabilis,,1,0,0,0
Hymenocephalus italicus,158961,exact,Hymenocephalus italicus,accepted,158961,Hymenocephalus italicus,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Hymenocephalus,,italicus,,1,0,0,0
Isurus oxyrinchus,105839,exact,Isurus oxyrinchus,accepted,105839,Isurus oxyrinchus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,,oxyrinchus,,1,0,0,0
Labrus viridis,126968,exact,Labrus viridis,accepted,126968,Labrus viridis,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Labrus,,viridis,,1,0,0,0
Lamna nasus,105841,exact,Lamna nasus,accepted,105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,,nasus,,1,0,0,0
Lampetra fluviatilis,101172,exact,Lampetra fluviatilis,accepted,101172,Lampetra fluviatilis,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lampetra,,fluviatilis,,1,1,1,0
Lepidopus caudatus,127088,exact,Lepidopus caudatus,accepted,127088,Lepidopus caudatus,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Lepidopus,,caudatus,,1,0,0,0
Lepidorhombus boscii,127145,exact,Lepidorhombus boscii,accepted,127145,Lepidorhombus boscii,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Lepidorhombus,,boscii,,1,0,0,0
Lepidorhombus whiffiagonis,127146,exact,Lepidorhombus whiffiagonis,accepted,127146,Lepidorhombus whiffiagonis,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Lepidorhombus,,whiffiagonis,,1,0,0,0
Lepidotrigla cavillone,127264,exact,Lepidotrigla cavillone,accepted,127264,Lepidotrigla cavillone,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Lepidotrigla,,cavillone,,1,0,0,0
Lepidotrigla dieuzeidei,127265,exact,Lepidotrigla dieuzeidei,accepted,127265,Lepidotrigla dieuzeidei,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Lepidotrigla,,dieuzeidei,,1,0,0,0
Lepidotrigla spp.,126179,exact,Lepidotrigla,accepted,126179,Lepidotrigla,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Lepidotrigla,,,,1,0,0,0
Lesueurigobius friesii,126904,exact,Lesueurigobius friesii,accepted,126904,Lesueurigobius friesii,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Lesueurigobius,,friesii,,1,0,0,0
Lesueurigobius sanzi,126906,exact,Lesueurigobius sanzi,accepted,126906,Lesueurigobius sanzi,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Lesueurigobius,,sanzi,,1,0,0,0
Leuciscus aspius,1015724,exact,Leuciscus aspius,accepted,1015724,Leuciscus aspius,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Leuciscus,,aspius,,0,1,1,0
Leucoraja circularis,105873,exact,Leucoraja circularis,accepted,105873,Leucoraja circularis,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,,circularis,,1,0,0,0
Leucoraja fullonica,105874,exact,Leucoraja fullonica,accepted,105874,Leucoraja fullonica,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,,fullonica,,1,0,0,0
Leucoraja melitensis,105875,exact,Leucoraja melitensis,accepted,105875,Leucoraja melitensis,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,,melitensis,,1,0,0,0
Leucoraja naevus,105876,exact,Leucoraja naevus,accepted,105876,Leucoraja naevus,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,,naevus,,1,0,0,0
Limanda limanda,127139,exact,Limanda limanda,accepted,127139,Limanda limanda,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda,,limanda,,1,0,0,0
Lophius budegassa,126554,exact,Lophius budegassa,accepted,126554,Lophius budegassa,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,,budegassa,,1,0,0,0
Lophius piscatorius,126555,exact,Lophius piscatorius,accepted,126555,Lophius piscatorius,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,,piscatorius,,1,0,0,0
Lumpenus lampretaeformis,154675,exact,Lumpenus lampretaeformis,accepted,154675,Lumpenus lampretaeformis,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,,lampretaeformis,,1,0,0,0
Malacocephalus laevis,272392,exact,Malacocephalus laevis,accepted,272392,Malacocephalus laevis,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Malacocephalus,,laevis,,1,0,0,0
Melanogrammus aeglefinus,126437,exact,Melanogrammus aeglefinus,accepted,126437,Melanogrammus aeglefinus,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,,aeglefinus,,1,0,0,0
Merlangius merlangus,126438,exact,Merlangius merlangus,accepted,126438,Merlangius merlangus,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,,merlangus,,1,1,0,0
Merluccius merluccius,126484,exact,Merluccius merluccius,accepted,126484,Merluccius merluccius,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,,merluccius,,1,0,0,0
Microchirus azevia,274299,exact,Microchirus azevia,accepted,274299,Microchirus azevia,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Microchirus,,azevia,,1,0,0,0
Microchirus boscanion,274300,exact,Microchirus boscanion,accepted,274300,Microchirus boscanion,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Microchirus,,boscanion,,1,0,0,0
Microchirus ocellatus,274302,exact,Microchirus ocellatus,accepted,274302,Microchirus ocellatus,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Microchirus,,ocellatus,,1,0,0,0
Microchirus variegatus,274304,exact,Microchirus variegatus,accepted,274304,Microchirus variegatus,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Microchirus,,variegatus,,1,0,0,0
Micromesistius poutassou,126439,exact,Micromesistius poutassou,accepted,126439,Micromesistius poutassou,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Micromesistius,,poutassou,,1,0,0,0
Microstomus kitt,127140,exact,Microstomus kitt,accepted,127140,Microstomus kitt,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,,kitt,,1,0,0,0
Mobula mobular,105858,exact,Mobula mobular,accepted,105858,Mobula mobular,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,,mobular,,1,0,0,0
Molva dypterygia,126459,exact,Molva dypterygia,accepted,126459,Molva dypterygia,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Molva,,dypterygia,,1,0,0,0
Molva macrophthalma,126460,exact,Molva macrophthalma,accepted,126460,Molva macrophthalma,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Molva,,macrophthalma,,1,0,0,0
Molva molva,126461,exact,Molva molva,accepted,126461,Molva molva,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Molva,,molva,,1,0,0,0
Mora moro,126497,exact,Mora moro,accepted,126497,Mora moro,Animalia,Chordata,Teleostei,Gadiformes,Moridae,Mora,,moro,,1,0,0,0
Mullus surmuletus,126986,exact,Mullus surmuletus,accepted,126986,Mullus surmuletus,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Mullus,,surmuletus,,1,0,0,0
Mustelus,105732,exact,Mustelus,accepted,105732,Mustelus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,,,,1,1,0,0
Mustelus asterias,105821,exact,Mustelus asterias,accepted,105821,Mustelus asterias,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,,asterias,,1,0,0,0
Mustelus mustelus,105822,exact,Mustelus mustelus,accepted,105822,Mustelus mustelus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,,mustelus,,1,0,0,0
Mustelus punctulatus,105823,exact,Mustelus punctulatus,accepted,105823,Mustelus punctulatus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,,punctulatus,,1,0,0,0
Myliobatis aquila,105860,exact,Myliobatis aquila,accepted,105860,Myliobatis aquila,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,,aquila,,1,1,0,0
Neogobius melanostomus,126916,exact,Neogobius melanostomus,accepted,126916,Neogobius melanostomus,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Neogobius,,melanostomus,,1,1,1,0
Nezumia sclerorhynchus,126475,exact,Nezumia sclerorhynchus,accepted,126475,Nezumia sclerorhynchus,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Nezumia,,sclerorhynchus,,1,0,0,0
Notacanthus chemnitzii,126643,exact,Notacanthus chemnitzii,accepted,126643,Notacanthus chemnitzii,Animalia,Chordata,Teleostei,Notacanthiformes,Notacanthidae,Notacanthus,,chemnitzii,,1,0,0,0
Oblada melanura,127056,exact,Oblada melanura,unaccepted,1577363,Oblada melanurus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Oblada,,melanura,,1,0,0,0
Oxynotus paradoxus,105915,exact,Oxynotus paradoxus,accepted,105915,Oxynotus paradoxus,Animalia,Chordata,Elasmobranchii,Squaliformes,Oxynotidae,Oxynotus,,paradoxus,,1,0,0,0
Pagellus acarne,127057,exact,Pagellus acarne,accepted,127057,Pagellus acarne,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,,acarne,,1,0,0,0
Pagellus bellottii,127058,exact,Pagellus bellottii,accepted,127058,Pagellus bellottii,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,,bellottii,,1,0,0,0
Pagellus bogaraveo,127059,exact,Pagellus bogaraveo,accepted,127059,Pagellus bogaraveo,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,,bogaraveo,,1,0,0,0
Pagellus erythrinus,127060,exact,Pagellus erythrinus,accepted,127060,Pagellus erythrinus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,,erythrinus,,1,0,0,0
Perca fluviatilis,151353,exact,Perca fluviatilis,accepted,151353,Perca fluviatilis,Animalia,Chordata,Teleostei,Perciformes,Percidae,Perca,,fluviatilis,,0,1,1,0
Peristedion cataphractum,127233,exact,Peristedion cataphractum,accepted,127233,Peristedion cataphractum,Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Peristedion,,cataphractum,,1,0,0,0
Petromyzon marinus,101174,exact,Petromyzon marinus,accepted,101174,Petromyzon marinus,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Petromyzon,,marinus,,1,1,1,0
Phycis blennoides,126501,exact,Phycis blennoides,accepted,126501,Phycis blennoides,Animalia,Chordata,Teleostei,Gadiformes,Phycidae,Phycis,,blennoides,,1,0,0,0
Platichthys flesus,127141,exact,Platichthys flesus,accepted,127141,Platichthys flesus,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,,flesus,,1,1,1,0
