occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Celastrus orbiculatus Thunb.","Celastrus orbiculatus Thunb.","3169169","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Celastrus","Celastrus orbiculatus","Celastrus orbiculatus","Thunb.","3169169",
,"Acacia saligna (Labill.) H.L.Wendl. (Acacia cyanophylla Lindl.)","Acacia saligna (Labill.) H.L.Wendl.","2978552","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia saligna","Acacia saligna","(Labill.) H.L.Wendl.","2978552",
,"Acridotheres tristis Linnaeus, 1766","Acridotheres tristis (Linnaeus, 1766)","2489005","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis","Acridotheres tristis","(Linnaeus, 1766) ","2489005",
,"Ailanthus altissima (Mill.) Swingle","Ailanthus altissima (Mill.) Swingle","3190653","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima","Ailanthus altissima","(Mill.) Swingle","3190653",
,"Andropogon virginicus L.","Andropogon virginicus L.","2706080","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Andropogon","Andropogon virginicus","Andropogon virginicus","L.","2706080",
,"Arthurdendyus triangulatus (Dendy, 1894) Jones & Gerard (1999)","Arthurdendyus triangulatus (Dendy, 1895)","2502792","EXACT","99","ACCEPTED","SPECIES","Animalia","Platyhelminthes",,"Tricladida","Geoplanidae","Arthurdendyus","Arthurdendyus triangulatus","Arthurdendyus triangulatus","(Dendy, 1895) ","2502792",
,"Cardiospermum grandiflorum Sw.","Cardiospermum grandiflorum Sw.","3189935","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Cardiospermum","Cardiospermum grandiflorum","Cardiospermum grandiflorum","Sw.","3189935",
,"Cortaderia jubata (Lemoine ex Carri�re) Stapf","Cortaderia jubata (Lemoine) Stapf","2704521","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia jubata","Cortaderia jubata","(Lemoine) Stapf","2704521",
,"Ehrharta calycina Sm.","Ehrharta calycina Sm.","2702865","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Ehrharta","Ehrharta calycina","Ehrharta calycina","Sm.","2702865",
,"Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.","Gymnocoronis spilanthoides DC.","6063677","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gymnocoronis","Gymnocoronis spilanthoides","Gymnocoronis spilanthoides","DC.","6063677",
,"Humulus scandens (Lour.) Merr.","Humulus scandens (Lour.) Merr.","2984537","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus scandens","Humulus scandens","(Lour.) Merr.","2984537",
,"Lepomis gibbosus Linnaeus, 1758","Lepomis gibbosus (Linnaeus, 1758)","2394486","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus","Lepomis gibbosus","(Linnaeus, 1758) ","2394486",
,"Lespedeza cuneata (Dum.Cours.) G.Don (Lespedeza juncea var. sericea (Thunb.) Lace & Hauech)","Lespedeza cuneata (Dum.Cours.) G.Don","8114276","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lespedeza","Lespedeza cuneata","Lespedeza cuneata","(Dum.Cours.) G.Don","8114276",
,"Lygodium japonicum (Thunb.) Sw.","Lygodium japonicum (Thunb.) Sw.","2650436","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","Lygodium","Lygodium japonicum","Lygodium japonicum","(Thunb.) Sw.","2650436",
,"Plotosus lineatus (Thunberg, 1787)","Plotosus lineatus (Thunberg, 1787)","7965247","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Siluriformes","Plotosidae","Plotosus","Plotosus lineatus","Plotosus lineatus","(Thunberg, 1787) ","7965247",
,"Prosopis juliflora (Sw.) DC.","Prosopis juliflora (Sw.) DC.","5358460","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Prosopis","Prosopis juliflora","Prosopis juliflora","(Sw.) DC.","5358460",
,"Salvinia molesta D.S. Mitch. (Salvinia adnata Desv.)","Salvinia ×molesta D.S.Mitch.","5274863","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","Salvinia","Salvinia molesta","Salvinia molesta","D.S.Mitch.","5274863",
,"Triadica sebifera (L.) Small (Sapium sebiferum (L.) Roxb.)","Triadica sebifera (L.) Small","3054399","HIGHERRANK","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Triadica","Triadica sebifera","Triadica sebifera","(L.) Small","3054399",
,"Alopochen aegyptiacus Linnaeus, 1766","Alopochen aegyptiaca (Linnaeus, 1766)","2498252","FUZZY","97","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Alopochen","Alopochen aegyptiaca","Alopochen aegyptiaca","(Linnaeus, 1766) ","2498252",
,"Alternanthera philoxeroides (Mart.) Griseb.","Alternanthera philoxeroides (Mart.) Griseb.","3084923","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides","Alternanthera philoxeroides","(Mart.) Griseb.","3084923",
,"Asclepias syriaca L.","Asclepias syriaca L.","3170247","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Asclepias syriaca","L.","3170247",
,"Elodea nuttallii (Planch.) St. John","Elodea nuttallii (Planch.) H.St.John","5329212","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii","Elodea nuttallii","(Planch.) H.St.John","5329212",
,"Gunnera tinctoria (Molina) Mirbel","Gunnera tinctoria (Molina) Mirb.","2984306","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gunnerales","Gunneraceae","Gunnera","Gunnera tinctoria","Gunnera tinctoria","(Molina) Mirb.","2984306",
,"Heracleum mantegazzianum Sommier & Levier","Heracleum mantegazzianum Sommier & Levier","3034825","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum mantegazzianum","Heracleum mantegazzianum","Sommier & Levier","3034825",
,"Impatiens glandulifera Royle","Impatiens glandulifera Royle","2891770","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera","Impatiens glandulifera","Royle","2891770",
,"Microstegium vimineum (Trin.) A. Camus","Microstegium vimineum (Trin.) A.Camus","5289808","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Microstegium","Microstegium vimineum","Microstegium vimineum","(Trin.) A.Camus","5289808",
,"Myriophyllum heterophyllum Michaux","Myriophyllum heterophyllum Michx.","5361762","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum","Myriophyllum heterophyllum","Michx.","5361762",
,"Nyctereutes procyonoides Gray, 1834�(*1)","Nyctereutes procyonoides (Gray, 1834)","2434552","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides","Nyctereutes procyonoides","(Gray, 1834) ","2434552",
,"Ondatra zibethicus Linnaeus, 1766","Ondatra zibethicus (Linnaeus, 1766)","5219858","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus","Ondatra zibethicus","(Linnaeus, 1766) ","5219858",
,"Pennisetum setaceum (Forssk.) Chiov.","Pennisetum setaceum (Forssk.) Chiov.","2706134","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus","Pennisetum setaceum","(Forssk.) Chiov.","2706134","5828232"
,"Baccharis halimifolia L.","Baccharis halimifolia L.","3129663","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis halimifolia","Baccharis halimifolia","L.","3129663",
,"Cabomba caroliniana Gray","Cabomba caroliniana A.Gray","2882443","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana","Cabomba caroliniana","A.Gray","2882443",
,"Callosciurus erythraeus Pallas, 1779","Callosciurus erythraeus (Pallas, 1779)","2437394","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus erythraeus","Callosciurus erythraeus","(Pallas, 1779) ","2437394",
,"Corvus splendens Viellot, 1817","Corvus splendens Vieillot, 1817","2482499","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus splendens","Corvus splendens","Vieillot, 1817","2482499",
,"Eichhornia crassipes (Martius) Solms","Eichhornia crassipes (Mart.) Solms","2765940","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","Pontederia","Pontederia crassipes","Eichhornia crassipes","(Mart.) Solms","2765940","2765942"
,"Eriocheir sinensis H. Milne Edwards, 1854","Eriocheir sinensis H.Milne Edwards, 1853","2225776","EXACT","100","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","Eriocheir sinensis","Eriocheir sinensis","H.Milne Edwards, 1853","2225776",
,"Heracleum persicum Fischer","Heracleum persicum Desf. ex Fisch., C.A.Mey. & Avé-Lall.","8000520","EXACT","100","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum persicum","Heracleum persicum","Desf. ex Fisch., C.A.Mey. & Avé-Lall.","8000520","3628745"
,"Heracleum sosnowskyi Mandenova","Heracleum sosnowskyi Manden.","3642949","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum sosnowskyi","Heracleum sosnowskyi","Manden.","3642949",
,"Herpestes javanicus �. Geoffroy Saint-Hilaire, 1818","Herpestes javanicus (É.Geoffroy Saint-Hilaire, 1818)","2434271","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","Herpestes","Herpestes javanicus","Herpestes javanicus","(É.Geoffroy Saint-Hilaire, 1818) ","2434271",
,"Hydrocotyle ranunculoides L. f.","Hydrocotyle ranunculoides L.fil.","7978544","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Hydrocotyle","Hydrocotyle ranunculoides","Hydrocotyle ranunculoides","L.fil.","7978544",
,"Lagarosiphon major (Ridley) Moss","Lagarosiphon major (Ridl.) Moss","2865565","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Lagarosiphon","Lagarosiphon major","Lagarosiphon major","(Ridl.) Moss","2865565",
,"Lithobates (Rana) catesbeianus Shaw, 1802","Lithobates catesbeianus (Shaw, 1802)","2427091","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus","Lithobates catesbeianus","(Shaw, 1802) ","2427091",
